напляжение фаза 1, В	-1.300000
напляжение фаза 2, В	1.000000
количество точек фаза 1	200
количество точек фаза 2	200
длительность импульсов, us	10000.000000
задержка между импульсами, us	0.500000
количество ВАХ в файле	17

номер точки	напряжение, В 	ток, А
981	-0.261866	-0.000015
982	-0.249430	-0.000015
983	-0.236430	-0.000013
984	-0.223349	-0.000012
985	-0.210269	-0.000012
986	-0.197349	-0.000011
987	-0.184269	-0.000011
988	-0.171671	-0.000011
989	-0.158430	-0.000009
990	-0.145188	-0.000009
991	-0.132510	-0.000008
992	-0.119671	-0.000008
993	-0.106591	-0.000008
994	-0.093671	-0.000007
995	-0.080752	-0.000007
996	-0.067752	-0.000006
997	-0.054671	-0.000006
998	-0.041752	-0.000006
999	-0.028591	-0.000005
1000	-0.015833	-0.000006
1001	-0.002752	-0.000004
